,Job Profile,Company,ExperienceRequired,AvgSalary,MinSalary,MaxSalary
71,Senior Consultant,capgemini,2-14,"14,56,736",2.4,27.5
72,Senior Software Engineer,capgemini,0-11,"9,20,029",1.8,16.0
73,Senior Analyst,capgemini,0-5,"4,88,532",1.0,8.6
74,Software Engineer,capgemini,0-7,"5,59,760",1.7,10.6
75,Process Associate,capgemini,0-7,"3,26,521",1.3,6.5
76,Senior Associate,capgemini,0-10,"4,36,176",1.3,9.5
77,Process Leader,capgemini,1-13,"6,32,038",2.0,12.0
78,Analyst,capgemini,0-3,"4,02,950",,
79,Software Developer,capgemini,0-7,"7,42,595",2.0,18.5
80,Software Engineer,tech-mahindra,0-8,"6,54,510",1.7,15.5
81,Senior Software Engineer,tech-mahindra,2-11,"11,64,536",,
82,Technical Lead,tech-mahindra,5-16,"17,97,590",4.4,34.0
83,Software Developer,tech-mahindra,1-7,"7,28,773",2.0,20.0
84,Associate Software Engineer,tech-mahindra,0-6,"4,49,751",1.7,9.6
85,Softwaretest Engineer,tech-mahindra,1-6,"5,53,291",1.8,12.0
86,Team Lead,tech-mahindra,1-16,"9,83,362",,
87,Customer Service Associate,tech-mahindra,0-9,"2,58,081",,
88,Customer Care Executive,tech-mahindra,0-8,"2,48,876",,
89,Devops Engineer,tech-mahindra,1-7,"7,14,189",1.2,17.0
90,Process Developer,genpact,0-9,"4,05,410",,
91,Process Associate,genpact,0-6,"3,14,026",,
92,Management Trainee,genpact,0-13,"5,75,407",1.7,9.1
93,Senior Process Associate,genpact,1-8,"3,21,092",1.2,7.5
94,Business Analyst,genpact,0-11,"7,15,534",2.5,15.0
95,Senior Associate,genpact,0-7,"4,58,705",1.4,9.0
96,Lead Consultant,genpact,3-13,"17,20,564",5.2,31.0
97,Operations Manager,genpact,8-18,"11,36,896",4.8,18.0
98,Technical Associate,genpact,0-8,"4,79,893",1.5,8.4
99,Assistant Vice President,genpact,10-22,"32,89,153",13.0,53.0
100,Deputy Manager,hcltech,0-12,"5,54,489",2.3,10.3
101,Sales Officer,hcltech,0-8,"2,48,975",1.1,4.3
102,Relationship Officer,hcltech,0-9,"2,49,834",,
103,Sales Manager,hcltech,0-16,"6,74,547",1.1,15.5
104,Assistant Vice President,hcltech,6-24,"22,93,521",6.5,43.0
105,Relationship Manager,hcltech,0-15,"6,59,924",,
106,Business Development Executive,hcltech,0-6,"2,20,486",,
107,Branch Head,hcltech,9-23,"14,88,266",4.0,29.0
108,Sales Executive,hcltech,0-7,"2,43,825",,
109,Customer Service Officer,hcltech,0-8,"3,69,407",1.4,6.7
110,Customer Service Executive,axis-bank,0-7,"3,05,918",,
111,Customer Care Executive,axis-bank,0-8,"2,86,237",,
112,Technical Support Engineer,axis-bank,0-7,"4,37,290",1.5,9.0
113,Senior Advisor,axis-bank,0-7,"3,82,094",1.5,7.7
114,Senior Representative,axis-bank,0-7,"3,81,905",1.5,6.0
115,Senior Associate,axis-bank,0-8,"3,59,659",1.3,6.5
116,Operations Representative,axis-bank,0-7,"3,08,092",1.1,6.0
117,SME,axis-bank,1-10,"4,82,437",1.2,10.5
118,Customer Service Associate,axis-bank,0-10,"3,18,502",,
119,Customer Support Executive,axis-bank,0-6,"2,96,999",,
120,Application Developer,concentrix-corporation,0-11,"12,55,693",1.8,36.0
121,Software Engineer,concentrix-corporation,0-8,"8,16,147",1.6,29.0
122,Senior Systems Engineer,concentrix-corporation,1-12,"11,64,402",1.0,25.5
123,Advisory System Analyst,concentrix-corporation,4-12,"15,81,518",5.0,27.0
124,Senior Software Engineer,concentrix-corporation,2-12,"14,49,989",3.5,43.0
125,Software Developer,concentrix-corporation,0-9,"11,28,370",1.3,36.0
126,Associate Systems Engineer,concentrix-corporation,0-9,"6,99,417",2.2,13.5
127,System Engineer,concentrix-corporation,0-8,"7,52,071",2.0,21.9
128,Technical Service Specialist,concentrix-corporation,3-15,"10,63,535",3.0,20.0
129,Devops Engineer,concentrix-corporation,1-8,"9,16,465",2.5,22.5
130,Customer Service Associate,ibm,0-8,"3,45,816",,
131,Transaction Risk Investigator,ibm,0-7,"4,07,302",2.0,7.0
132,Customer Service Executive,ibm,0-8,"3,42,240",1.0,7.0
133,Senior Associate,ibm,0-9,"5,58,368",1.5,9.5
134,Process Associate,ibm,0-6,"3,06,261",1.0,5.1
135,Quality Specialist,ibm,0-6,"4,40,749",2.7,7.3
136,HR Assistant,ibm,0-7,"4,49,848",1.2,6.7
137,Program Manager,ibm,0-15,"22,04,355",5.0,51.0
138,Seller Support Associate,ibm,0-7,"4,01,873",1.7,5.8
139,Catalog Associate,ibm,0-6,"3,45,356",1.8,6.6
140,Deputy Manager,amazon,0-19,"7,82,063",1.9,15.2
141,Jio Point Manager,amazon,0-12,"3,01,494",1.8,4.5
142,Sales Executive,amazon,0-12,"2,62,888",,
143,Network Engineer,amazon,0-10,"4,19,150",1.5,8.5
144,Fiber Engineer,amazon,0-8,"2,82,680",1.0,6.5
145,Deputy General Manager,amazon,11-24,"29,48,707",12.0,47.5
146,Team Lead,amazon,0-13,"4,21,085",1.2,12.0
147,Sales Manager,amazon,2-15,"5,57,364",1.1,15.0
148,Mobility Sales Lead,amazon,8-17,"9,55,370",5.4,13.1
149,Senior Sales Executive,amazon,1-9,"3,23,933",1.8,5.2
150,Sales Executive,reliance-jio,0-8,"2,33,718",,
151,Senior Sales Officer,reliance-jio,0-10,"2,33,105",,
152,Sales Officer,reliance-jio,0-8,"2,13,703",,
153,Sales Manager,reliance-jio,0-14,"3,63,786",,
154,Junior Officer,reliance-jio,0-7,"2,27,368",,
155,Credit Relationship Manager,reliance-jio,0-11,"3,40,348",1.8,5.2
156,Relationship Officer,reliance-jio,0-6,"2,37,192",1.0,6.4
157,Relationship Manager,reliance-jio,0-8,"3,01,883",,
158,Senior Sales Executive,reliance-jio,0-9,"2,38,823",1.1,4.8
159,Branch Credit Manager,reliance-jio,0-13,"4,97,617",2.0,7.8
160,Store Manager,larsen-&-toubro-limited,0-18,"5,36,964",1.9,12.0
161,Department Manager,larsen-&-toubro-limited,0-15,"3,75,835",1.4,6.3
162,Sales Officer,larsen-&-toubro-limited,0-12,"3,27,875",1.3,5.1
163,Deputy Manager,larsen-&-toubro-limited,0-19,"7,80,775",2.2,17.0
164,Team Lead,larsen-&-toubro-limited,0-13,"3,60,267",,
165,Retail Store Manager,larsen-&-toubro-limited,1-16,"5,26,771",1.4,15.0
166,Assistant Store Manager,larsen-&-toubro-limited,0-17,"4,92,857",1.3,9.5
167,Sales Executive,larsen-&-toubro-limited,0-11,"2,70,983",,
168,Customer Service Associate,larsen-&-toubro-limited,0-7,"1,83,509",,
169,Supervisor,larsen-&-toubro-limited,0-9,"2,68,449",,
170,Customer Care Executive,hdb-financial-services,0-10,"2,89,648",,
171,Customer Service Associate,hdb-financial-services,0-8,"2,55,364",,
172,Customer Service Executive,hdb-financial-services,0-9,"2,85,644",,
173,Senior Customer Service Executive,hdb-financial-services,0-9,"3,08,848",,
174,Quality Analyst,hdb-financial-services,0-9,"3,47,419",,
175,Team Lead,hdb-financial-services,0-13,"4,56,232",1.1,12.0
176,Technical Support Executive,hdb-financial-services,0-9,"3,58,426",,
177,Customer Support Executive,hdb-financial-services,0-7,"2,85,124",,
178,Team Lead Operations,hdb-financial-services,1-12,"4,19,130",1.4,9.5
179,Analyst,hdb-financial-services,0-7,"2,64,628",1.0,4.8
180,Deputy Manager,reliance-retail,3-15,"13,96,799",5.3,22.0
181,Territory Sales Manager,reliance-retail,0-13,"6,60,172",,
182,Assistant General Manager,reliance-retail,5-22,"17,07,222",4.4,35.6
183,Sales Executive,reliance-retail,0-10,"2,60,968",,
184,Customer Care Executive,reliance-retail,0-10,"2,70,103",,
185,Team Lead,reliance-retail,0-12,"3,72,428",,
186,Customer Service Executive,reliance-retail,0-10,"2,63,311",,
187,Area Sales Manager,reliance-retail,8-17,"13,30,317",3.6,20.0
188,Territory Sales Executive,reliance-retail,0-9,"3,90,752",1.6,5.2
189,General Manager,reliance-retail,10-25,"36,19,118",12.0,76.0
190,Senior Consultant,teleperformance,2-15,"23,82,877",4.0,40.0
191,Analyst,teleperformance,0-6,"8,05,999",1.8,14.5
192,Senior Analyst,teleperformance,0-11,"10,53,970",2.2,29.0
193,Business Technology Analyst,teleperformance,0-5,"8,87,454",3.5,15.0
194,Deputy Manager,teleperformance,0-13,"17,69,394",6.0,28.2
195,Tax Consultant,teleperformance,0-4,"7,00,527",2.0,12.0
196,Associate Analyst,teleperformance,0-3,"4,40,382",2.1,6.8
197,Business Analyst,teleperformance,0-7,"10,27,768",3.4,19.2
198,Senior Audit Assistant,teleperformance,0-5,"11,10,553",4.9,16.0
199,Solution Advisor,teleperformance,1-8,"15,40,021",5.1,24.0
200,Deputy Manager,vodafone-idea,0-11,"4,73,063",1.5,8.5
201,Relationship Manager,vodafone-idea,0-11,"5,30,820",1.5,13.5
202,Brach Operation Manager,vodafone-idea,3-15,"6,95,522",3.0,10.6
203,Branch Manager,vodafone-idea,6-20,"13,44,058",4.0,22.3
204,Assistant Acquisition Manager,vodafone-idea,0-5,"2,78,865",1.1,4.0
205,Chief Manager,vodafone-idea,4-20,"18,02,487",6.6,32.4
206,Relationship Officer,vodafone-idea,0-7,"4,07,601",1.9,6.5
207,Service Officer,vodafone-idea,0-7,"3,04,754",1.5,4.2
208,Sales Executive,vodafone-idea,0-7,"2,59,145",,
209,Credit Manager,vodafone-idea,0-10,"7,87,066",1.7,12.7
210,Field Executive,deloitte,0-13,"5,72,530",1.1,11.0
211,Deputy Manager,deloitte,2-17,"8,19,082",3.7,16.5
212,Sales Officer,deloitte,0-10,"3,19,756",1.5,5.0
213,Mechanical Engineer,deloitte,1-10,"5,20,631",,
214,Mechanical Maintenance Engineer,deloitte,1-12,"7,63,323",1.4,16.0
215,Shift Engineer,deloitte,1-10,"7,77,460",3.2,12.7
216,Store Manager,deloitte,0-14,"4,87,579",1.5,12.0
217,Sales Executive,deloitte,0-7,"2,50,136",,
218,Maintenance Engineer,deloitte,0-10,"6,38,722",,
219,Electrical Engineer,deloitte,1-14,"5,87,286",1.0,14.5
220,Territory Sales Manager,kotak-mahindra-bank,1-14,"5,66,164",2.5,10.2
221,Sales Executive,kotak-mahindra-bank,0-9,"2,41,038",,
222,Customer Relation Officer,kotak-mahindra-bank,0-8,"2,71,284",,
223,Network Engineer,kotak-mahindra-bank,0-8,"3,73,619",1.5,6.5
224,Store Manager,kotak-mahindra-bank,0-12,"4,85,568",1.0,8.4
225,Team Lead,kotak-mahindra-bank,0-12,"3,49,519",,
226,Accounts Manager,kotak-mahindra-bank,0-11,"4,85,606",2.5,10.0
227,Retail Store Manager,kotak-mahindra-bank,2-12,"5,02,001",1.5,8.0
228,Zonal Sales Manager,kotak-mahindra-bank,7-16,"14,24,206",6.0,30.0
229,NOC Engineer,kotak-mahindra-bank,0-8,"3,61,093",2.0,6.0
230,Sales Executive,byju's,0-8,"2,24,904",,
231,Deputy General Manager,byju's,10-25,"30,77,109",13.0,49.2
232,Diploma Trainee Engineer,byju's,0-5,"2,15,494",,
233,Team Lead,byju's,0-12,"4,08,845",1.0,14.0
234,Trainee,byju's,0-5,"1,82,628",,
235,Quality Engineer,byju's,0-6,"2,63,946",1.0,4.8
236,Supervisor,byju's,0-7,"2,62,501",,
237,Service Advisor,byju's,0-8,"2,65,979",,
238,Territory Sales Manager,byju's,4-14,"15,72,033",5.1,24.5
239,ITI Fitter,byju's,0-5,"1,55,683",,
240,Data Entry Operator,reliance-industries,0-6,"2,27,269",,
241,Team Lead,reliance-industries,0-11,"4,96,509",1.0,14.0
242,Operations Executive,reliance-industries,0-8,"3,97,447",,
243,Team Lead Operations,reliance-industries,0-12,"4,77,448",1.6,10.7
244,HUB Incharge,reliance-industries,0-14,"5,68,379",2.4,8.6
245,Senior Executive Operations,reliance-industries,0-9,"5,38,870",1.8,8.6
246,Delivery Boy,reliance-industries,0-20,"2,62,742",,
247,Business Development Executive,reliance-industries,0-7,"4,32,612",2.0,6.1
248,Senior Assistant,reliance-industries,0-4,"1,48,737",,
249,Supervisor,reliance-industries,0-7,"2,61,012",,
250,Senior Associate,bharti-airtel,0-9,"4,16,925",,
251,Senior Associate Operations,bharti-airtel,0-9,"4,00,067",,
252,Associate Lead,bharti-airtel,2-13,"6,24,319",2.5,14.1
253,Operations Associate,bharti-airtel,0-5,"2,89,814",,
254,Deputy Manager,bharti-airtel,4-18,"13,43,716",5.3,26.0
255,Analyst,bharti-airtel,0-11,"6,34,281",2.0,13.3
256,Group Manager,bharti-airtel,7-20,"20,01,566",5.0,39.5
257,Senior Analyst,bharti-airtel,1-12,"6,94,819",2.0,18.0
258,Process Associate,bharti-airtel,0-4,"2,77,738",,
259,Team Lead,bharti-airtel,3-12,"5,88,355",2.5,11.2
260,Deputy Manager,tata-motors,0-12,"4,35,211",1.1,8.1
261,Business Development Manager,tata-motors,0-8,"3,41,371",1.7,5.0
262,Service Delivery Manager,tata-motors,0-9,"4,22,252",1.8,6.0
263,Branch Manager,tata-motors,5-21,"11,39,780",3.0,27.0
264,Relationship Manager,tata-motors,0-15,"6,83,974",1.7,20.0
265,Deputy Branch Manager,tata-motors,3-17,"7,73,460",2.4,12.6
266,Chief Manager,tata-motors,0-20,"9,81,475",4.9,16.5
267,Area Sales Manager,tata-motors,5-17,"9,85,304",3.5,15.7
268,Acquisition Manager,tata-motors,0-7,"2,65,735",1.6,3.9
269,Key Account Manager,tata-motors,1-10,"5,38,859",2.3,7.5
270,Associate Professional Software Engineer,flipkart,0-3,"4,64,998",3.0,7.0
271,Software Engineer,flipkart,0-7,"6,76,812",2.4,14.2
272,Associate Professional,flipkart,0-10,"4,74,306",1.8,7.2
273,Professional 1,flipkart,1-12,"7,21,472",2.8,13.9
274,Software Developer,flipkart,0-6,"6,39,437",2.5,14.0
275,Professional 1 Product Developer,flipkart,2-7,"8,63,267",3.8,14.0
276,Business Analyst,flipkart,1-14,"10,77,691",2.0,26.0
277,Senior Software Engineer,flipkart,3-12,"12,08,735",3.6,22.5
278,Associate Professional Product Developer,flipkart,1-4,"4,66,605",3.0,7.8
279,Associate Software Engineer,flipkart,0-2,"4,25,647",3.0,6.6
280,Senior Processing Executive,ernst-&-young,0-7,"3,06,644",1.0,4.7
281,Process Specialist,ernst-&-young,0-11,"4,54,351",2.0,7.8
282,Processing Executive,ernst-&-young,0-6,"2,88,614",,
283,Account Assistant,ernst-&-young,0-7,"3,15,026",1.4,4.5
284,Accountant,ernst-&-young,0-11,"3,88,772",1.7,5.7
285,Team Lead,ernst-&-young,4-15,"6,36,588",3.2,10.5
286,Technology Support Specialist,ernst-&-young,1-11,"4,30,719",2.4,6.0
287,Senior Process Associate,ernst-&-young,1-7,"3,30,034",1.5,5.5
288,Junior Accountant,ernst-&-young,0-2,"2,44,936",1.2,3.3
289,Technical Process Specialist,ernst-&-young,1-8,"5,13,433",2.5,7.0
290,Sales Officer,wns,0-8,"2,47,296",,
291,Senior Officer,wns,0-8,"3,65,154",1.8,5.3
292,Deputy Manager,wns,0-12,"5,24,216",2.7,9.0
293,Sales Manager,wns,0-12,"5,92,476",1.5,11.0
294,Senior Sales Officer,wns,0-7,"2,98,005",1.2,6.5
295,Territory Manager,wns,0-12,"7,32,003",3.8,10.5
296,Relationship Manager,wns,0-12,"5,17,252",1.9,11.5
297,Credit Manager,wns,0-10,"6,99,830",2.4,12.0
298,Territory Sales Manager,wns,0-11,"7,61,225",3.7,11.2
299,Branch Manager,wns,6-18,"12,43,276",2.5,26.0
300,Deputy Manager,indusind-bank,2-10,"16,17,450",6.5,27.0
301,Relationship Manager,indusind-bank,0-9,"2,76,587",,
302,Sales Executive,indusind-bank,0-7,"2,51,828",,
303,Service Advisor,indusind-bank,0-10,"2,53,167",,
304,Territory Sales Manager,indusind-bank,2-12,"22,21,056",10.0,30.3
305,Senior Engineer,indusind-bank,6-13,"12,72,956",6.3,18.0
306,Technician,indusind-bank,0-5,"2,32,339",,
307,Customer Care Executive,indusind-bank,0-8,"2,34,328",,
308,Territory Service Manager,indusind-bank,2-11,"18,28,077",7.2,30.5
309,ITI Fitter,indusind-bank,0-4,"2,52,922",,
310,Customer Care Executive,mahindra-&-mahindra,0-6,"2,27,765",,
311,Customer Service Executive,mahindra-&-mahindra,0-7,"2,45,007",,
312,Senior Customer Service Executive,mahindra-&-mahindra,0-6,"2,42,968",1.0,5.0
313,Team Lead,mahindra-&-mahindra,0-12,"3,75,441",,
314,Customer Service Associate,mahindra-&-mahindra,0-5,"2,34,991",,
315,Team Lead Operations,mahindra-&-mahindra,2-10,"3,65,050",1.5,5.3
316,Customer Support Executive,mahindra-&-mahindra,0-6,"2,39,523",,
317,Quality Analyst,mahindra-&-mahindra,0-8,"3,12,988",1.0,5.1
318,Operations Executive,mahindra-&-mahindra,0-5,"2,48,612",1.0,4.3
319,BPO Executive,mahindra-&-mahindra,0-5,"1,98,077",,
320,Sales Executive,dxc-technology,0-8,"2,57,773",,
321,Sales Officer,dxc-technology,0-9,"2,56,624",,
322,Sales Manager,dxc-technology,0-10,"4,97,046",1.3,9.0
323,Collections Manager,dxc-technology,0-10,"4,32,272",,
324,Area Sales Manager,dxc-technology,4-12,"8,90,157",2.1,15.0
325,Assistant Sales Manager,dxc-technology,0-7,"3,83,763",1.5,5.5
326,Credit Manager,dxc-technology,1-9,"5,24,402",2.0,8.0
327,Finance Executive,dxc-technology,0-7,"2,35,796",,
328,Collections Executive,dxc-technology,0-6,"2,01,007",,
329,Assistant Manager Collections,dxc-technology,1-8,"3,98,052",1.6,6.2
330,Senior Process Consultant,infosys-bpm,1-6,"2,92,937",1.5,4.6
331,Customer Relation Officer,infosys-bpm,0-6,"2,55,176",,
332,Process Consultant,infosys-bpm,0-4,"2,51,227",1.0,4.5
333,Process Associate,infosys-bpm,0-4,"2,70,570",1.2,4.2
334,Senior Process Associate,infosys-bpm,2-5,"2,92,595",1.7,4.5
335,Team Lead,infosys-bpm,3-12,"4,71,896",1.6,8.3
336,Senior Associate,infosys-bpm,2-8,"3,57,598",1.5,6.0
337,Senior Claim Processing Executive,infosys-bpm,2-6,"2,63,696",1.6,3.5
338,Team Lead Operations,infosys-bpm,5-9,"4,97,703",1.4,8.7
339,Customer Care Executive,infosys-bpm,0-5,"2,39,163",,
340,Customer Service Executive,idfc-first-bank,0-6,"3,23,050",,
341,Customer Care Executive,idfc-first-bank,0-6,"3,04,664",,
342,Senior Customer Service Executive,idfc-first-bank,0-7,"3,59,845",,
343,Customer Support Executive,idfc-first-bank,0-6,"3,08,346",1.0,8.0
344,Executive Assistant,idfc-first-bank,0-4,"3,57,470",,
345,Team Lead,idfc-first-bank,0-9,"4,12,326",1.8,7.2
346,Quality Analyst,idfc-first-bank,0-8,"4,05,532",2.0,7.0
347,Team Lead Operations,idfc-first-bank,2-8,"4,48,561",1.6,7.6
348,Technical Support Engineer,idfc-first-bank,0-5,"2,66,742",1.7,4.1
349,SME,idfc-first-bank,0-6,"3,35,298",1.8,6.0
350,Customer Care Executive,maruti-suzuki,0-8,"2,22,357",,
351,Operations Executive,maruti-suzuki,0-8,"2,56,294",,
352,Customer Service Executive,maruti-suzuki,0-7,"2,47,858",,
353,Team Lead,maruti-suzuki,0-12,"3,93,719",,
354,Customer Support Executive,maruti-suzuki,0-7,"2,55,063",,
355,Team Lead Operations,maruti-suzuki,3-12,"4,12,373",,
356,Senior Executive Operations,maruti-suzuki,0-7,"2,94,140",1.1,4.6
357,Quality Analyst,maruti-suzuki,1-9,"3,42,907",1.1,5.2
358,Senior Customer Service Executive,maruti-suzuki,0-6,"2,67,717",1.0,5.4
359,Customer Service Associate,maruti-suzuki,0-5,"2,32,308",,
360,Senior Engineer,conneqt-business-solutions,4-16,"11,53,538",4.5,17.5
361,Senior Solution Integrator,conneqt-business-solutions,4-15,"14,97,003",5.3,22.0
362,Network Engineer,conneqt-business-solutions,0-12,"6,03,939",1.6,12.0
363,Solution Architect,conneqt-business-solutions,8-19,"24,25,466",8.0,38.2
364,Solution Integrator,conneqt-business-solutions,1-9,"8,33,185",2.0,16.0
365,Assistant Engineer,conneqt-business-solutions,0-6,"4,32,178",2.4,6.2
366,Integration Engineer,conneqt-business-solutions,0-10,"6,41,762",2.8,13.2
367,Software Engineer,conneqt-business-solutions,1-7,"8,39,093",2.4,16.1
368,Senior Software Engineer,conneqt-business-solutions,4-11,"15,28,780",5.5,29.0
369,Associate Engineer,conneqt-business-solutions,0-7,"5,01,889",1.9,6.6
370,Software Engineer,bajaj-finserv,0-7,"6,72,243",2.0,15.0
371,Senior Software Engineer,bajaj-finserv,2-10,"12,46,293",,
372,Associate Software Engineer,bajaj-finserv,0-4,"3,82,721",1.8,6.0
373,Transaction Processing Officer,bajaj-finserv,0-5,"2,52,778",1.0,4.1
374,Module Lead,bajaj-finserv,5-13,"17,72,224",5.5,30.0
375,Software Developer,bajaj-finserv,0-7,"7,38,977",2.3,18.5
376,Softwaretest Engineer,bajaj-finserv,0-5,"4,40,480",1.8,11.5
377,Senior Transaction Processing Officer,bajaj-finserv,1-8,"2,99,824",1.5,5.5
378,Delivery Module Lead,bajaj-finserv,5-14,"17,19,033",6.4,31.0
379,Project Lead,bajaj-finserv,8-18,"19,45,882",8.1,32.0
380,Senior Associate,hinduja-global-solutions,0-11,"16,07,092",3.5,37.0
381,Senior Consultant,hinduja-global-solutions,3-12,"19,12,348",5.4,40.0
382,Associate2,hinduja-global-solutions,0-7,"9,36,335",2.7,15.0
383,Senior Associate 2,hinduja-global-solutions,2-12,"20,03,402",5.4,35.0
384,Senior Analyst,hinduja-global-solutions,0-9,"6,50,017",2.7,11.1
385,Associate Director,hinduja-global-solutions,7-20,"38,99,339",15.5,60.0
386,Tax Associate,hinduja-global-solutions,0-3,"6,47,994",2.1,9.0
387,Associate Consultant,hinduja-global-solutions,0-8,"10,20,042",4.0,22.0
388,Principal Consultant,hinduja-global-solutions,7-14,"25,25,303",10.4,40.0
389,Analyst,hinduja-global-solutions,0-5,"5,14,533",1.8,10.0
390,Business Development Manager,ienergizer,0-10,"3,27,159",1.5,4.8
391,Corporate Agency Manager,ienergizer,0-9,"3,49,643",1.5,5.1
392,Sales Development Manager,ienergizer,0-7,"2,79,313",1.1,4.4
393,Senior Corporate Agency Manager,ienergizer,0-10,"4,36,302",2.8,6.1
394,Manager- Corporate Sales,ienergizer,3-16,"8,10,874",3.0,12.0
395,Bancassurance Manager,ienergizer,0-12,"5,38,702",2.0,6.7
396,Assistant Sales Manager,ienergizer,0-11,"4,02,375",2.4,5.4
397,Corporate Manager,ienergizer,3-15,"7,29,762",2.6,11.5
398,Sales Manager,ienergizer,0-10,"4,11,895",1.1,7.0
399,Senior Associate,ienergizer,0-8,"3,12,680",1.0,5.0
400,Deputy Manager,hsbc-group,0-13,"5,61,982",2.2,9.4
401,Senior Officer,hsbc-group,0-7,"3,25,855",1.7,5.0
402,Assistant Vice President,hsbc-group,4-20,"15,85,345",8.0,27.0
403,Relationship Manager,hsbc-group,0-12,"6,83,746",2.0,19.0
